00:00:02.00-1161 ->  SD OK~
00:00:02.00-1091 ->  BREAK STOP~
00:00:03.00-2822 ->  Controller Set~
00:00:04.00-3045 ->  START~
00:00:05.00-4993 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:05.00-4934 ->  LOCK~
00:00:05.00-4885 ->  Battery :12.14 V~
00:00:05.00-4813 ->  Speed:0.00 km/hr ~
00:00:05.00-4762 ->  Battery :12.24 V~
00:00:05.00-4690 ->  Speed:0.00 km/hr ~
00:00:05.00-4640 ->  Battery :12.24 V~
00:00:05.00-4568 ->  Speed:0.00 km/hr ~
00:00:05.00-4518 ->  Battery :12.25 V~
00:00:05.00-4446 ->  Speed:0.00 km/hr ~
00:00:05.00-4393 ->  Battery :12.24 V~
00:00:05.00-4321 ->  Speed:0.00 km/hr ~
00:00:05.00-4270 ->  Battery :12.25 V~
00:00:05.00-4199 ->  Speed:0.00 km/hr ~
00:00:05.00-4148 ->  Battery :12.24 V~
00:00:05.00-4077 ->  Speed:0.00 km/hr ~
00:00:05.00-4026 ->  Battery :12.28 V~
00:00:06.00-5955 ->  Speed:0.00 km/hr ~
00:00:06.00-5904 ->  Battery :12.28 V~
00:00:06.00-5832 ->  Speed:0.00 km/hr ~
00:00:06.00-5782 ->  Battery :12.31 V~
00:00:06.00-5710 ->  Speed:0.00 km/hr ~
00:00:06.00-5657 ->  Battery :12.30 V~
00:00:06.00-5585 ->  Speed:0.00 km/hr ~
00:00:06.00-5534 ->  Battery :12.30 V~
00:00:06.00-5462 ->  Speed:0.00 km/hr ~
00:00:06.00-5412 ->  Battery :12.28 V~
00:00:06.00-5340 ->  Speed:0.00 km/hr ~
00:00:06.00-5289 ->  Battery :12.28 V~
00:00:06.00-5218 ->  Speed:0.00 km/hr ~
00:00:06.00-5167 ->  Battery :12.28 V~
00:00:06.00-5096 ->  Speed:0.00 km/hr ~
00:00:06.00-5045 ->  Battery :12.25 V~
00:00:07.00-6974 ->  Speed:0.00 km/hr ~
00:00:07.00-6923 ->  Battery :12.27 V~
00:00:07.00-6849 ->  Speed:0.00 km/hr ~
00:00:07.00-6798 ->  Battery :12.27 V~
00:00:07.00-6726 ->  Speed:0.00 km/hr ~
00:00:07.00-6676 ->  Battery :12.27 V~
00:00:07.00-6604 ->  Speed:0.00 km/hr ~
00:00:07.00-6553 ->  Battery :12.28 V~
00:00:07.00-6481 ->  Speed:0.00 km/hr ~
00:00:07.00-6431 ->  Battery :12.25 V~
00:00:07.00-6359 ->  Speed:0.00 km/hr ~
