00:00:04.784 ->  SD OK~
00:00:04.809 ->  BREAK STOP~
00:00:05.047 ->  Controller Set~
00:00:06.795 ->  START~
00:00:06.817 ->  (93,92,93,92,0.00,100,0)	BREAK STOPPED ~
00:00:06.861 ->  LOCK~
00:00:06.924 ->  Battery :0.06 V~
00:00:06.966 ->  Speed:0.71 km/hr ~
00:00:11.410 ->  (94,93,94,93,0.71,100,0)	BREAK STOPPED ~
00:00:11.439 ->  LOCK~
00:00:11.561 ->  (93,94,93,94,0.71,100,0)	BREAK STOPPED ~
00:00:11.589 ->  LOCK~
00:01:0-10.567 ->  (94,93,94,93,0.71,100,0)	BREAK STOPPED ~
00:01:0-10.596 ->  LOCK~
00:01:0-10.721 ->  (145,94,94,94,0.71,100,0)	BREAK STOPPED ~
00:01:0-8.950 ->  (144,145,94,94,0.71,100,0)	BREAK STOPPED ~
00:01:0-7.492 ->  (93,144,93,94,0.71,100,0)	BREAK STOPPED ~
00:01:0-6.032 ->  ERROR OCCUR  ~
00:01:0-6.051 ->  BREAK STOP  ~
00:01:0-6.070 ->  ERROR OCCUR  ~
00:01:0-6.090 ->  BREAK STOP  ~
00:01:0-6.108 ->  ERROR OCCUR  ~
00:01:0-6.127 ->  BREAK STOP  ~
00:01:0-6.146 ->  ERROR OCCUR  ~
00:01:0-6.165 ->  BREAK STOP  ~
00:01:0-6.185 ->  ERROR OCCUR  ~
00:01:0-6.203 ->  BREAK STOP  ~
00:01:0-6.225 ->  ERROR OCCUR  ~
00:01:0-6.244 ->  BREAK STOP  ~
00:01:0-6.264 ->  ERROR OCCUR  ~
00:01:0-6.282 ->  BREAK STOP  ~
00:01:0-6.348 ->  ERROR OCCUR  ~
00:01:0-6.366 ->  BREAK STOP  ~
00:01:0-6.485 ->  ERROR OCCUR  ~
00:01:0-6.504 ->  BREAK STOP  ~
00:01:0-6.625 ->  ERROR OCCUR  ~
00:01:0-6.644 ->  BREAK STOP  ~
00:01:0-6.763 ->  ERROR OCCUR  ~
00:01:0-6.783 ->  BREAK STOP  ~
00:01:0-6.910 ->  ERROR OCCUR  ~
00:01:0-6.928 ->  BREAK STOP  ~
00:01:0-6.948 ->  ERROR OCCUR  ~
00:01:0-6.969 ->  BREAK STOP  ~
00:01:0-5.088 ->  ERROR OCCUR  ~
00:01:0-5.107 ->  BREAK STOP  ~
00:01:0-5.228 ->  ERROR OCCUR  ~
00:01:0-5.247 ->  BREAK STOP  ~
00:01:0-5.366 ->  ERROR OCCUR  ~
00:01:0-5.386 ->  BREAK STOP  ~
00:01:0-5.514 ->  ERROR OCCUR  ~
00:01:0-5.532 ->  BREAK STOP  ~
00:01:0-5.552 ->  ERROR OCCUR  ~
00:01:0-5.570 ->  BREAK STOP  ~
00:01:0-5.690 ->  ERROR OCCUR  ~
00:01:0-5.710 ->  BREAK STOP  ~
00:01:0-5.830 ->  ERROR OCCUR  ~
00:01:0-5.849 ->  BREAK STOP  ~
00:01:0-5.969 ->  ERROR OCCUR  ~
00:01:0-5.990 ->  BREAK STOP  ~
00:01:0-4.119 ->  ERROR OCCUR  ~
00:01:0-4.138 ->  BREAK STOP  ~
00:01:0-4.157 ->  ERROR OCCUR  ~
00:01:0-4.175 ->  BREAK STOP  ~
00:01:0-4.295 ->  ERROR OCCUR  ~
00:01:0-4.315 ->  BREAK STOP  ~
00:01:0-4.436 ->  ERROR OCCUR  ~
00:01:0-4.454 ->  BREAK STOP  ~
00:01:0-4.573 ->  ERROR OCCUR  ~
00:01:0-4.592 ->  BREAK STOP  ~
00:01:0-4.612 ->  ERROR OCCUR  ~
00:01:0-4.630 ->  BREAK STOP  ~
00:01:0-4.749 ->  ERROR OCCUR  ~
00:01:0-4.768 ->  BREAK STOP  ~
00:01:0-4.890 ->  ERROR OCCUR  ~
00:01:0-4.910 ->  BREAK STOP  ~
00:01:0-3.030 ->  ERROR OCCUR  ~
00:01:0-3.049 ->  BREAK STOP  ~
00:01:0-3.174 ->  ERROR OCCUR  ~
00:01:0-3.193 ->  BREAK STOP  ~
00:01:0-3.213 ->  ERROR OCCUR  ~
00:01:0-3.231 ->  BREAK STOP  ~
00:01:0-3.350 ->  ERROR OCCUR  ~
00:01:0-3.369 ->  BREAK STOP  ~
00:01:0-3.489 ->  ERROR OCCUR  ~
00:01:0-3.509 ->  BREAK STOP  ~
00:01:0-3.630 ->  ERROR OCCUR  ~
00:01:0-3.648 ->  BREAK STOP  ~
00:01:0-3.667 ->  ERROR OCCUR  ~
00:01:0-3.689 ->  BREAK STOP  ~
00:01:0-3.808 ->  ERROR OCCUR  ~
00:01:0-3.827 ->  BREAK STOP  ~
00:01:0-3.947 ->  ERROR OCCUR  ~
00:01:0-3.965 ->  BREAK STOP  ~
00:01:0-2.085 ->  ERROR OCCUR  ~
00:01:0-2.105 ->  BREAK STOP  ~
00:01:0-2.233 ->  ERROR OCCUR  ~
00:01:0-2.251 ->  BREAK STOP  ~
00:01:0-2.271 ->  ERROR OCCUR  ~
00:01:0-2.289 ->  BREAK STOP  ~
