12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:39.066 ->  Battery :12.24 V
12:39:40.808 ->  @20/6/6 12:39:40.345 Bike UNLOCK
12:39:40.870 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:40.910 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:41.720 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:41.787 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:41.825 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:42.074 ->  Battery :12.28 V
12:39:42.614 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:42.970 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:43.009 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:43.256 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:43.306 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:43.348 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:43.447 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:43.553 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:43.592 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:43.892 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:43.981 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:44.062 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:44.152 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:44.174 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:44.250 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:44.289 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:44.558 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:44.785 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:44.805 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:44.987 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:45.025 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
12:39:45.168 ->  Battery :12.49 V
12:39:45.193 ->  (94,94,94,93,0.00,100,0)	BREAK STOPPED 93　94　
12:39:45.525 ->  (93,94,93,94,0.00,100,0)	BREAK STOPPED 
12:39:45.564 ->  (94,93,93,93,0.00,100,0)	BREAK STOPPED 93　
