00:00:02.00-1168 ->  SD OK~
00:00:02.00-1093 ->  BREAK STOP~
00:00:03.00-2840 ->  Controller Err~
00:00:04.00-3584 ->  START~
00:00:04.00-3532 ->  ERROR OCCUR  ~
00:00:04.00-3481 ->  BREAK STOP  ~
00:00:04.00-3426 ->  (127,92,94,92,0.00,100,0)	BREAK STOPPED ~
00:00:04.00-3374 ->  ERROR OCCUR  ~
00:00:04.00-3322 ->  BREAK STOP  ~
00:00:04.00-3268 ->  (112,127,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.00-3215 ->  ERROR OCCUR  ~
00:00:04.00-3164 ->  BREAK STOP  ~
00:00:04.00-3110 ->  (111,112,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:04.00-3055 ->  ERROR OCCUR  ~
00:00:04.00-3002 ->  BREAK STOP  ~
00:00:05.00-4948 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.00-4896 ->  ERROR OCCUR  ~
00:00:05.00-4844 ->  BREAK STOP  ~
00:00:05.00-4791 ->  ERROR OCCUR  ~
00:00:05.00-4739 ->  BREAK STOP  ~
00:00:05.00-4685 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.00-4633 ->  ERROR OCCUR  ~
00:00:05.00-4581 ->  BREAK STOP  ~
00:00:05.00-4527 ->  (110,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.00-4471 ->  ERROR OCCUR  ~
00:00:05.00-4420 ->  BREAK STOP  ~
00:00:05.00-4367 ->  ERROR OCCUR  ~
00:00:05.00-4315 ->  BREAK STOP  ~
00:00:05.00-4261 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:05.00-4209 ->  ERROR OCCUR  ~
00:00:05.00-4157 ->  BREAK STOP  ~
00:00:05.00-4104 ->  ERROR OCCUR  ~
00:00:05.00-4052 ->  BREAK STOP  ~
00:00:00.00 ->  ERROR OCCUR  ~
00:00:06.00-5948 ->  BREAK STOP  ~
00:00:06.00-5893 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.00-5841 ->  ERROR OCCUR  ~
00:00:06.00-5787 ->  BREAK STOP  ~
00:00:06.00-5733 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.00-5679 ->  ERROR OCCUR  ~
00:00:06.00-5628 ->  BREAK STOP  ~
00:00:06.00-5576 ->  ERROR OCCUR  ~
00:00:06.00-5524 ->  BREAK STOP  ~
00:00:06.00-5471 ->  ERROR OCCUR  ~
00:00:06.00-5419 ->  BREAK STOP  ~
00:00:06.00-5367 ->  ERROR OCCUR  ~
00:00:06.00-5315 ->  BREAK STOP  ~
00:00:06.00-5261 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.00-5208 ->  ERROR OCCUR  ~
00:00:06.00-5153 ->  BREAK STOP  ~
00:00:06.00-5099 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:06.00-5047 ->  ERROR OCCUR  ~
00:00:07.00-6995 ->  BREAK STOP  ~
00:00:07.00-6942 ->  ERROR OCCUR  ~
00:00:07.00-6890 ->  BREAK STOP  ~
00:00:07.00-6836 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.00-6783 ->  ERROR OCCUR  ~
00:00:07.00-6732 ->  BREAK STOP  ~
00:00:07.00-6678 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.00-6625 ->  ERROR OCCUR  ~
00:00:07.00-6570 ->  BREAK STOP  ~
00:00:07.00-6518 ->  ERROR OCCUR  ~
00:00:07.00-6466 ->  BREAK STOP  ~
00:00:07.00-6414 ->  ERROR OCCUR  ~
00:00:07.00-6361 ->  BREAK STOP  ~
00:00:07.00-6309 ->  ERROR OCCUR  ~
00:00:07.00-6257 ->  BREAK STOP  ~
00:00:07.00-6203 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:07.00-6151 ->  ERROR OCCUR  ~
00:00:07.00-6098 ->  BREAK STOP  ~
00:00:07.00-6044 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.00-7992 ->  ERROR OCCUR  ~
00:00:08.00-7940 ->  BREAK STOP  ~
00:00:08.00-7884 ->  ERROR OCCUR  ~
00:00:08.00-7833 ->  BREAK STOP  ~
00:00:08.00-7780 ->  ERROR OCCUR  ~
00:00:08.00-7729 ->  BREAK STOP  ~
00:00:08.00-7674 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.00-7621 ->  ERROR OCCUR  ~
00:00:08.00-7570 ->  BREAK STOP  ~
00:00:08.00-7516 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:08.00-7462 ->  ERROR OCCUR  ~
00:00:08.00-7411 ->  BREAK STOP  ~
00:00:08.00-7358 ->  ERROR OCCUR  ~
00:00:08.00-7307 ->  BREAK STOP  ~
00:00:08.00-7251 ->  ERROR OCCUR  ~
00:00:08.00-7199 ->  BREAK STOP  ~
00:00:08.00-7147 ->  ERROR OCCUR  ~
00:00:08.00-7096 ->  BREAK STOP  ~
00:00:08.00-7042 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.00-8989 ->  ERROR OCCUR  ~
00:00:09.00-8937 ->  BREAK STOP  ~
00:00:09.00-8883 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.00-8831 ->  ERROR OCCUR  ~
00:00:09.00-8778 ->  BREAK STOP  ~
00:00:09.00-8726 ->  ERROR OCCUR  ~
00:00:09.00-8675 ->  BREAK STOP  ~
00:00:09.00-8622 ->  ERROR OCCUR  ~
00:00:09.00-8573 ->  BREAK STOP  ~
00:00:09.00-8518 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.00-8466 ->  ERROR OCCUR  ~
00:00:09.00-8414 ->  BREAK STOP  ~
00:00:09.00-8361 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.00-8307 ->  ERROR OCCUR  ~
00:00:09.00-8256 ->  BREAK STOP  ~
00:00:09.00-8204 ->  ERROR OCCUR  ~
00:00:09.00-8152 ->  BREAK STOP  ~
00:00:09.00-8097 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:09.00-8045 ->  ERROR OCCUR  ~
00:00:10.00-9991 ->  BREAK STOP  ~
00:00:10.00-9937 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.00-9883 ->  ERROR OCCUR  ~
00:00:10.00-9832 ->  BREAK STOP  ~
00:00:10.00-9779 ->  ERROR OCCUR  ~
00:00:10.00-9728 ->  BREAK STOP  ~
00:00:10.00-9673 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.00-9620 ->  ERROR OCCUR  ~
00:00:10.00-9569 ->  BREAK STOP  ~
00:00:10.00-9515 ->  (109,108,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.00-9461 ->  ERROR OCCUR  ~
00:00:10.00-9410 ->  BREAK STOP  ~
00:00:10.00-9355 ->  ERROR OCCUR  ~
00:00:10.00-9303 ->  BREAK STOP  ~
00:00:10.00-9248 ->  (111,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:10.00-9196 ->  ERROR OCCUR  ~
00:00:10.00-9144 ->  BREAK STOP  ~
00:00:10.00-9092 ->  ERROR OCCUR  ~
00:00:10.00-9040 ->  BREAK STOP  ~
00:00:11.00-10987 ->  ERROR OCCUR  ~
00:00:11.00-10935 ->  BREAK STOP  ~
00:00:11.00-10881 ->  (110,111,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.00-10829 ->  ERROR OCCUR  ~
00:00:11.00-10776 ->  BREAK STOP  ~
00:00:11.00-10721 ->  ERROR OCCUR  ~
00:00:11.00-10670 ->  BREAK STOP  ~
00:00:11.00-10615 ->  (109,110,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:11.00-10562 ->  ERROR OCCUR  ~
00:00:11.00-10510 ->  BREAK STOP  ~
00:00:11.00-10458 ->  ERROR OCCUR  ~
00:00:11.00-10406 ->  BREAK STOP  ~
00:00:11.00-10354 ->  ERROR OCCUR  ~
00:00:11.00-10302 ->  BREAK STOP  ~
00:00:11.00-10249 ->  ERROR OCCUR  ~
00:00:11.00-10197 ->  BREAK STOP  ~
00:00:11.00-10145 ->  ERROR OCCUR  ~
00:00:11.00-10092 ->  BREAK STOP  ~
00:00:11.00-10036 ->  (108,109,94,94,0.00,100,1)	BREAK STOPPED 94~
00:00:12.00-11983 ->  ERROR OCCUR  ~
00:00:12.00-11932 ->  BREAK STOP  ~
